property_name,flat_size,facing,property_price,overlooking,bathroom,balcony,super area,floor,ownership,carpet area,transaction,furnishing
Not Given,3,North,₹ 1.80 Cr,Main Road,3,3.0,None,4 out of 40 floors,Freehold,1936 sqft,Resale,Semi-Furnished
Godrej Meridien,3,,₹ 1.90 Cr,,3,,2002 sqft,,,None,New Property,Unfurnished
Shapoorji Pallonji Joyville Gurgaon,3,,₹ 95 Lac,,3,,1027 sqft,,,None,New Property,Semi-Furnished
Sanjog Homes,3,,₹ 1.80 Cr,,3,,1840 sqft,,,None,New Property,Unfurnished
Sobha City,3,,₹ 1.92 Cr,,4,,2072 sqft,24 out of 24 floors,,None,New Property,Semi-Furnished
Tulip Violet,3,,₹ 1.03 Cr,,3,2.0,None,2 out of 14 floors,,1300 sqft,New Property,Unfurnished
Sabharwal Homes,3,,₹ 1.90 Cr,,3,,1650 sqft,1 out of 4 floors,,None,New Property,Furnished
Godrej Nature Plus,3,,₹ 84.5 Lac,,3,,1557 sqft,,,None,New Property,Unfurnished
Central Park Flower Valley Flamingo Floor,3,North,₹ 90 Lac,Garden/Park,2,2.0,None,1 out of 2 floors,Freehold,922 sqft,New Property,Semi-Furnished
M3M Golf Estate,3,,₹ 3.15 Cr,,4,,3005 sqft,,,None,New Property,Unfurnished
The Peaceful Homes,4,,₹ 2.17 Cr,,5,,2925 sqft,30 out of 30 floors,,None,New Property,Semi-Furnished
Godrej Air,4,,₹ 1.96 Cr,,4,,2600 sqft,,,None,New Property,Unfurnished
Chintels Serenity,4,,₹ 1.89 Cr,"Garden/Park, Pool, Main Road",4,4.0,2925 sqft,11 out of 18 floors,Freehold,None,Resale,Semi-Furnished
Conscient Hines Elevate,4,,₹ 3.56 Cr,,5,,None,,,3395 sqft,New Property,Semi-Furnished
Corona Optus,4,,₹ 1.38 Cr,,4,,2764 sqft,14 out of 14 floors,,None,New Property,Unfurnished
The Crest,4,,₹ 5 Cr,,6,,2650 sqft,,,None,New Property,Unfurnished
Pioneer Park,4,South - East,₹ 2.10 Cr,"Garden/Park, Pool, Main Road",3,3.0,None,10 out of 12 floors,Freehold,2200 sqft,New Property,Unfurnished
Park View Grand Spa,4,East,₹ 1.88 Cr,Garden/Park,5,4.0,None,8 out of 20 floors,Freehold,2200 sqft,Resale,Semi-Furnished
Gurgaon Floors,4,,₹ 1.75 Cr,,3,,1592 sqft,3 out of 3 floors,,None,New Property,Semi-Furnished
Oyster Grande,4,,₹ 2.11 Cr,,5,,3200 sqft,21 out of 21 floors,,None,New Property,Semi-Furnished
Revanta,4,,₹ 2.26 Cr,,4,,2548 sqft,46 out of 46 floors,,None,New Property,Unfurnished
Vipul World,4,,₹ 1.30 Cr,,3,2.0,3240 sqft,1 out of 3 floors,,None,Resale,Furnished
Windchants,4,,₹ 3.98 Cr,,4,,4857 sqft,27 out of 27 floors,,None,New Property,Semi-Furnished
Spaze Kalistaa,4,North - East,₹ 2.20 Cr,"Garden/Park, Pool, Main Road",4,,None,11 out of 20 floors,Freehold,2900 sqft,Resale,Semi-Furnished
Not Given,4,North - East,₹ 3.56 Cr,"Garden/Park, Pool, Main Road",4,5.0,None,3 out of 32 floors,Freehold,1960 sqft,New Property,Semi-Furnished
ATS Tourmaline,4,East,₹ 1.98 Cr,Garden/Park,4,4.0,3150 sqft,10 out of 25 floors,Freehold,None,New Property,Semi-Furnished
Central Park Flower Valley,4,North - East,₹ 1.71 Cr,"Garden/Park, Pool, Main Road",3,3.0,None,2 out of 4 floors,Freehold,2500 sqft,New Property,Semi-Furnished
Godrej Meridien,4,North - East,₹ 2.41 Cr,Garden/Park,5,4.0,None,8 out of 40 floors,Freehold,1904 sqft,New Property,Semi-Furnished
Mapsko Casa Bella,4,,₹ 1.69 Cr,,4,,3250 sqft,25 out of 25 floors,,None,New Property,Unfurnished
Sanjog Homes,4,,₹ 3 Cr,,4,,3700 sqft,,,None,New Property,Unfurnished
Sobha City,4,,₹ 2.18 Cr,,5,,2343 sqft,18 out of 18 floors,,None,New Property,Semi-Furnished
Tulip Violet,4,North - East,₹ 1.80 Cr,"Garden/Park, Main Road",4,2.0,None,6 out of 14 floors,Freehold,1800 sqft,New Property,Unfurnished
Ireo Victory Valley,4,East,₹ 2.50 Cr,"Garden/Park, Pool",4,3.0,None,1 out of 7 floors,Freehold,2280 sqft,Resale,Semi-Furnished
